"fish" "day" "state" "sub"
"795" "45" 16 NA NA
"796" "46" 16 NA NA
"797" "47" 16 NA NA
"798" "48" 16 NA NA
"799" "49" 16 1 1
"800" "50" 16 NA NA
"801" "1" 17 8 3
"802" "2" 17 1 1
"803" "3" 17 10 3
"804" "4" 17 10 3
"805" "5" 17 NA NA
"806" "6" 17 NA NA
"807" "7" 17 10 1
"808" "8" 17 NA NA
"809" "9" 17 9 1
"810" "10" 17 6 3
"811" "11" 17 3 3
"812" "12" 17 NA NA
"813" "13" 17 NA NA
"814" "14" 17 10 3
"815" "15" 17 NA NA
"816" "16" 17 NA NA
"817" "17" 17 NA NA
"818" "18" 17 NA NA
"819" "19" 17 NA NA
"820" "20" 17 NA NA
"821" "21" 17 NA NA
"822" "22" 17 7 2
"823" "23" 17 NA NA
"824" "24" 17 NA NA
"825" "25" 17 7 2
"826" "26" 17 6 3
"827" "27" 17 10 3
"828" "28" 17 NA NA
"829" "29" 17 NA NA
"830" "30" 17 10 3
"831" "31" 17 NA NA
"832" "32" 17 1 1
"833" "33" 17 NA NA
"834" "34" 17 NA NA
"835" "35" 17 NA NA
"836" "36" 17 NA NA
"837" "37" 17 NA NA
"838" "38" 17 NA NA
"839" "39" 17 7 2
"840" "40" 17 NA NA
"841" "41" 17 NA NA
"842" "42" 17 NA NA
"843" "43" 17 NA NA
"844" "44" 17 NA NA
"845" "45" 17 7 2
"846" "46" 17 NA NA
"847" "47" 17 1 3
"848" "48" 17 1 3
"849" "49" 17 NA NA
"850" "50" 17 NA NA
"851" "1" 18 NA NA
"852" "2" 18 NA NA
"853" "3" 18 NA NA
"854" "4" 18 NA NA
"855" "5" 18 10 1
"856" "6" 18 NA NA
"857" "7" 18 NA NA
"858" "8" 18 7 2
"859" "9" 18 8 3
"860" "10" 18 7 2
"861" "11" 18 2 3
"862" "12" 18 10 3
"863" "13" 18 10 1
"864" "14" 18 NA NA
"865" "15" 18 NA NA
"866" "16" 18 9 2
"867" "17" 18 NA NA
"868" "18" 18 NA NA
"869" "19" 18 NA NA
"870" "20" 18 6 1
"871" "21" 18 NA NA
"872" "22" 18 NA NA
"873" "23" 18 NA NA
"874" "24" 18 NA NA
"875" "25" 18 NA NA
"876" "26" 18 NA NA
"877" "27" 18 NA NA
"878" "28" 18 NA NA
"879" "29" 18 1 1
"880" "30" 18 NA NA
"881" "31" 18 9 2
"882" "32" 18 1 3
"883" "33" 18 NA NA
"884" "34" 18 6 3
"885" "35" 18 NA NA
"886" "36" 18 NA NA
"887" "37" 18 NA NA
"888" "38" 18 NA NA
"889" "39" 18 NA NA
"890" "40" 18 NA NA
"891" "41" 18 NA NA
"892" "42" 18 NA NA
"893" "43" 18 NA NA
"894" "44" 18 NA NA
"895" "45" 18 NA NA
"896" "46" 18 10 1
"897" "47" 18 NA NA
"898" "48" 18 NA NA
"899" "49" 18 NA NA
"900" "50" 18 7 2
"901" "1" 19 10 1
"902" "2" 19 1 2
"903" "3" 19 NA NA
"904" "4" 19 NA NA
"905" "5" 19 NA NA
"906" "6" 19 NA NA
"907" "7" 19 NA NA
"908" "8" 19 NA NA
"909" "9" 19 NA NA
"910" "10" 19 8 2
"911" "11" 19 NA NA
"912" "12" 19 10 1
"913" "13" 19 10 3
"914" "14" 19 NA NA
"915" "15" 19 NA NA
"916" "16" 19 NA NA
"917" "17" 19 NA NA
"918" "18" 19 NA NA
"919" "19" 19 NA NA
"920" "20" 19 6 1
"921" "21" 19 7 2
"922" "22" 19 NA NA
"923" "23" 19 NA NA
"924" "24" 19 NA NA
"925" "25" 19 NA NA
"926" "26" 19 NA NA
"927" "27" 19 NA NA
"928" "28" 19 NA NA
"929" "29" 19 NA NA
"930" "30" 19 NA NA
"931" "31" 19 NA NA
"932" "32" 19 NA NA
"933" "33" 19 NA NA
"934" "34" 19 3 2
"935" "35" 19 NA NA
"936" "36" 19 10 1
"937" "37" 19 NA NA
"938" "38" 19 NA NA
"939" "39" 19 NA NA
"940" "40" 19 NA NA
"941" "41" 19 1 1
"942" "42" 19 NA NA
"943" "43" 19 7 2
"944" "44" 19 NA NA
"945" "45" 19 7 2
"946" "46" 19 10 1
"947" "47" 19 NA NA
"948" "48" 19 NA NA
"949" "49" 19 3 3
"950" "50" 19 NA NA
"951" "1" 20 10 1
"952" "2" 20 NA NA
"953" "3" 20 10 2
"954" "4" 20 10 1
"955" "5" 20 10 1
"956" "6" 20 10 1
"957" "7" 20 NA NA
"958" "8" 20 7 2
"959" "9" 20 6 3
"960" "10" 20 NA NA
"961" "11" 20 NA NA
"962" "12" 20 NA NA
"963" "13" 20 NA NA
"964" "14" 20 NA NA
"965" "15" 20 NA NA
"966" "16" 20 NA NA
"967" "17" 20 NA NA
"968" "18" 20 NA NA
"969" "19" 20 10 1
"970" "20" 20 NA NA
"971" "21" 20 NA NA
"972" "22" 20 NA NA
"973" "23" 20 NA NA
"974" "24" 20 10 3
"975" "25" 20 NA NA
"976" "26" 20 NA NA
"977" "27" 20 10 3
"978" "28" 20 NA NA
"979" "29" 20 NA NA
"980" "30" 20 NA NA
"981" "31" 20 9 2
"982" "32" 20 NA NA
"983" "33" 20 NA NA
"984" "34" 20 NA NA
"985" "35" 20 NA NA
"986" "36" 20 NA NA
"987" "37" 20 NA NA
"988" "38" 20 NA NA
"989" "39" 20 8 3
"990" "40" 20 NA NA
"991" "41" 20 1 2
"992" "42" 20 NA NA
"993" "43" 20 7 2
"994" "44" 20 NA NA
"995" "45" 20 NA NA
"996" "46" 20 10 1
"997" "47" 20 1 1
"998" "48" 20 NA NA
"999" "49" 20 NA NA
"1000" "50" 20 NA NA
"1001" "1" 21 NA NA
"1002" "2" 21 NA NA
"1003" "3" 21 NA NA
"1004" "4" 21 NA NA
"1005" "5" 21 NA NA
"1006" "6" 21 NA NA
"1007" "7" 21 NA NA
"1008" "8" 21 NA NA
"1009" "9" 21 4 2
"1010" "10" 21 9 2
"1011" "11" 21 2 3
"1012" "12" 21 NA NA
"1013" "13" 21 NA NA
"1014" "14" 21 10 1
"1015" "15" 21 9 3
"1016" "16" 21 NA NA
"1017" "17" 21 NA NA
